text,label
J'ai du mal à rester debout longtemps mes jambes me font mal.,2
J'ai remarqué que mes vêtements sont plus larges j'ai perdu du ventre.,2
Je suis souvent en hypoglycémie j'ai des sueurs froides.,2
J'ai des troubles du sommeil je me réveille souvent la nuit.,2
J'ai la peau très sèche surtout sur les jambes.,2
Mes lèvres sont souvent gercées et douloureuses.,2
J'ai des douleurs dans la poitrine quand je marche longtemps.,2
Je ressens une grande soif qui ne passe pas.,2
J'ai des nausées après les repas gras.,2
Mes pieds ont des rougeurs et des gonflements.,2
Je ressens une faiblesse soudaine en faisant de l'effort.,2
J'ai des douleurs articulaires fréquentes.,2
J'ai du mal à respirer quand je fais une petite marche.,2
J'ai des maux de tête qui reviennent chaque jour.,2
Je me sens souvent déprimé.,2
J'ai des brûlures d'estomac récurrentes.,2
Mes yeux piquent et je pleure facilement.,2
J'ai une sensation de lourdeur dans les jambes.,2
J'ai des sensations de picotements quand je conduis.,2
J'ai remarqué que mes cheveux tombent plus qu'avant.,2
J'ai souvent froid même quand il fait chaud.,2
Je ressens une grande faiblesse après le sport.,2
J'ai des troubles de la mémoire récents.,2
Je remarque que mes gencives sont rouges et enflées.,2
J'ai des démangeaisons au niveau des plis de la peau.,2
J'ai des crampes nocturnes dans les mollets.,2
Je suis souvent essoufflé en montant les escaliers.,2
J'ai une mauvaise haleine qui ne part pas.,2
Je suis souvent irritable et de mauvaise humeur.,2
J'ai des infections vaginales à répétition.,2
Je ressens des douleurs au ventre après les repas.,2
J'ai des troubles digestifs fréquents.,2
J'ai du mal à perdre du poids malgré mes efforts.,2
Mes pieds sont souvent engourdis après avoir marché.,2
J'ai des difficultés à me concentrer quand je travaille sur l'ordinateur.,2
J'ai souvent les mains froides et moites.,2
Je ressens une fatigue chronique qui ne s'améliore pas avec le repos.,2
J'ai remarqué que ma peau est devenue plus fine.,2
Je ressens une grande soif et une bouche pâteuse.,2
J'ai souvent des palpitations sans cause apparente.,2
J'ai du mal à contrôler ma glycémie malgré mon traitement.,2
"Je me sens souvent très fatigué, même après une bonne nuit de sommeil.",2
J'ai une soif intense et je dois boire de l'eau constamment.,2
"Je vais aux toilettes très fréquemment, même pendant la nuit.",2
"J'ai perdu du poids sans raison apparente, malgré un appétit normal.",2
J'ai souvent des étourdissements et je me sens faible.,2
Ma vision est devenue floue et j'ai du mal à me concentrer.,2
Je ressens des picotements et un engourdissement dans mes mains et mes pieds.,2
"J'ai des infections fréquentes, comme des infections de la peau ou des infections urinaires.",2
Je me sens souvent irritable et anxieux sans raison évidente.,2
"J'ai des épisodes de transpiration excessive et des tremblements, surtout si je n'ai pas mangé à temps.",2
"Je me sens constamment triste et vide, sans raison apparente.",1
Je n'ai plus d'intérêt pour les activités que j'aimais auparavant.,1
Je me réveille souvent la nuit et j'ai du mal à me rendormir.,1
"Je me sens fatigué tout le temps, même après une bonne nuit de sommeil.",1
"J'ai du mal à me concentrer, même sur des tâches simples.",1
Je me sens inutile et sans espoir pour l'avenir.,1
J'ai perdu l'appétit et j'ai du mal à manger régulièrement.,1
Je me sens coupable et je rumine souvent sur mes erreurs passées.,1
"Je n'arrive plus à prendre des décisions, même les plus simples.",1
Je me sens agité et incapable de rester en place.,1
Je pense souvent à la mort et à la possibilité de me suicider.,1
Je pleure souvent sans raison apparente.,1
"Je me sens physiquement ralenti, comme si tout était un effort.",1
Je n'ai plus d'énergie pour faire quoi que ce soit.,1
Je me sens désespéré et je ne vois pas d'issue à ma situation.,1
Je me sens irritable et je m'énerve facilement.,1
Je n'arrive plus à ressentir de la joie ou du plaisir.,1
Je me sens submergé par l'anxiété et la peur.,1
Je me sens comme un fardeau pour les autres.,1
Je n'ai plus envie de sortir de chez moi ou de voir qui que ce soit.,1
Je me sens vide et sans émotion.,1
Je n'arrive plus à me motiver pour quoi que ce soit.,1
Je me sens constamment en échec.,1
Je n'ai plus confiance en moi et je me sens inutile.,1
Je me sens coupable de ne pas être à la hauteur.,1
Je n'arrive plus à me projeter dans l'avenir.,1
Je me sens comme si je vivais dans un brouillard.,1
Je n'ai plus envie de prendre soin de moi.,1
Je me sens comme si je perdais le contrôle de ma vie.,1
Je n'arrive plus à ressentir de l'affection pour les autres.,1
Je me sens comme si je n'avais plus rien à offrir.,1
Je n'ai plus envie de parler à qui que ce soit.,1
Je me sens comme si je n'avais plus de raison de vivre.,1
Je n'arrive plus à me concentrer sur quoi que ce soit.,1
Je me sens comme si je n'avais plus de valeur.,1
"Je me sens constamment tendu et je m'inquiète pour tout, même les petites choses.",1
"Mon esprit ne s'arrête jamais, c'est comme si je ne pouvais pas contrôler mes pensées.",1
J'ai souvent des maux de tête et des tensions musculaires sans raison apparente.,1
"Je me sens fatigué tout le temps, même après une bonne nuit de sommeil.",1
J'ai des difficultés à me concentrer sur mon travail ou mes études à cause de mon anxiété.,1
"Je ressens une peur intense et irrationnelle que quelque chose de terrible va arriver.,number",1
"Je me réveille souvent la nuit en sueur, le cœur battant à cause de mes inquiétudes.",1
Je me sens submergé par mes responsabilités et j'ai peur de ne pas être à la hauteur.,1
J'ai des nausées et des problèmes digestifs quand je suis particulièrement anxieux.,1
"Je me sens irritable et à fleur de peau, même avec mes proches.",1
J'ai souvent des vertiges et je me sens étourdi sans raison médicale évidente.,1
Je me sens comme si je perdais le contrôle de ma vie et de mes émotions.,1
"J'ai des difficultés à prendre des décisions, même simples, par peur de faire une erreur.",1
"Je me sens souvent en danger, même dans des situations parfaitement sûres.",1
J'ai des palpitations et une sensation d'oppression dans la poitrine quand je suis anxieux.,1
"Je me sens isolé et incompris, comme si personne ne pouvait comprendre ce que je vis.",1
J'ai des difficultés à respirer correctement quand je suis submergé par l'anxiété.,1
"Je me sens constamment sur le qui-vive, comme si je devais me préparer au pire.",1
J'ai des tremblements et des secousses musculaires quand je suis particulièrement stressé.,1
"Je me sens désespéré et sans espoir, comme si rien ne pouvait aller mieux.",1
"Parfois, je me sens invincible et plein d'énergie, mais d'autres fois, je ne peux même pas sortir du lit.",1
"J'ai des périodes où je parle très vite et où mes pensées s'emballent, puis soudain, je me sens complètement vide.",1
Il m'arrive de dépenser beaucoup d'argent de manière impulsive quand je me sens au sommet de ma forme.,1
Je passe par des phases où je me sens extrêmement irritable et agité sans raison apparente.,1
Il y a des moments où je me sens tellement triste et désespéré que je ne vois pas l'intérêt de continuer.,1
"Je me réveille plusieurs fois par nuit et j'ai du mal à me rendormir, ce qui me laisse épuisé le matin.",1
"Même si je me sens fatigué, je ne parviens pas à m'endormir, mon esprit ne cesse de ressasser des pensées.",1
Je fais souvent des cauchemars qui me réveillent en sueur et en état de panique.,1
"Je me sens comme paralysé au moment de m'endormir ou de me réveiller, c'est vraiment effrayant.",1
"Je passe des nuits blanches à fixer le plafond, et le manque de sommeil aggrave mon anxiété pendant la journée.",1
